"city","metro.population"
"Spring Hill",107855
"Bayonet Point",81049
"Jasmine Estates",81049
"Hudson",81049
"Aripeka",81049
"Shady Hills",81049
"Dade City",15068
"Dade City North",15068
"Lacooche",15068
"Trilby",15068
"St Leo",15068
"San Antonio",15068
"Holiday",81161
"New Port Richey",81161
"Port Richey",81161
"New Port Richey East",81161
"Elfers",81161
"Beacon Square",81161
"Anclote",81161
"Trinity",81161
"Seven Springs",81161
"Land O Lakes",101630
"Odessa",101630
"Keystone",101630
"Lake Fern",101630
"Cheval",101630
"Greater Northdale",101630
"Lutz",101630
"Wesley Chapel",63330
"Pebble Creek",63330
"Zephyrhills",29309
"Zephyrhills South",29309
"Zephyrhills North",29309
"Zephyrhills West",29309
"Crystal Springs",29309
"Richland",29309
"Palm Harbor",119881
"Tarpon Springs",119881
"East Lake",119881
"Crystal Beach",119881
"Clearwater",185930
"Dunedin",185930
"Safety Harbor",185930
"Oldsmar",185930
"Town 'n' Country",135729
"Westchase",135729
"Citrus Park",135729
"Tampa",633843
"Greater Carrollwood",633843
"Egypt Lake-Leto",633843
"Lake Magdalene",633843
"University",633843
"Temple Terrace",633843
"East Lake-Orient Park",633843
"Palm River-Clair Mel",633843
"Thonotosassa",633843
"Brandon",197791
"Mango",197791
"Seffner",197791
"Valrico",197791
"Sydney",197791
"Dover",197791
"Turkey Creek",197791
"Hopewell",197791
"Keysville",197791
"Lithia",197791
"Plant City",39156
"Largo",103860
"Belleair",103860
"Belleair Shore",103860
"Belleair Beach",103860
"Belleair Bluffs",103860
"Indian Rocks Beach",103860
"Harbor Bluffs",103860
"Feather Sound",103860
"Seminole",56932
"Bay Pines",56932
"Madeira Beach",56932
"Redington Shores",56932
"Redington Beach",56932
"North Redington Beach",56932
"Treasure Island",56932
"South Pasadena",56932
"St Pete Beach",56932
"Tierra Verde",56932
"Saint Petersburg",356937
"Gulfport",356937
"Kenneth City",356937
"Lealman",356937
"Pinellas Park",356937
"Gandy",356937
"Riverview",164001
"Gibsonton",164001
"East Tampa",164001
"Progress Village",164001
"Bloomingdale",164001
"Adamsville",164001
"Apollo Beach",77780
"Ruskin",77780
"Gulf City",77780
"Sun City Center",77780
"Wimauma",77780
"Balm",77780
"Snead Island",93603
"Terra Ceia",93603
"Parrish",93603
"Ellenton",93603
"Palmetto",93603
"Memphis",93603
"Bradenton",152383
"West Bradenton",152383
"Palma Sola",152383
"Anna Maria",152383
"Holmes Beach",152383
"Bradenton Beach",152383
"South Bradenton",152383
"Samoset",152383
"Oneco",152383
"Bayshore Gardens",152383
"Whitfield",152383
"Cortez",152383
"Longboat Key",152383
"Lakewood Ranch",3500
"Sarasota",115926
"North Sarasota",115926
"Desoto Lakes",115926
"Kensington Park",115926
"The Meadows",115926
"Fruitville",115926
"Sarasota Springs",115926
"Southgate",115926
"Myakka City",56709
"Siesta Key",42480
"South Sarasota",42480
"Ridge Wood Heights",42480
"South Gate Ridge",42480
"Bee Ridge",42480
"Gulf Gate Estates",42480
"Osprey",11890
"Vamo",11890
"Venice",36185
"Laurel",36185
"Nokomis",36185
"South Venice",27811
"Venice Gardens",27811
"Plantation",27811
"North Port",73777
"Warm Mineral Springs",73777
"Englewood",15252
